task,profile,family,group,topology,mode,hidden,heads,head_dim,variant,base_rank,rank_multiplier,actual_M,unique_depth,executed_depth,total_parameters,trainable_parameters,backbone_parameters,router_parameters,batch_size,epochs,lr,mlp_ratio,unified_pos,ref,matrix_macs_B1
airfoil,paper_table8_on_release_model,linearno,base_depth8,independent_L8,native_residual,128,8,16,conv_temp,64,1,64,8,8,1765889,1765889,1765889,0,4,500,0.001,1,False,8,22720893312
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,5,8,1116497,1116497,1116497,0,4,500,0.001,1,False,8,22720893312
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,conv_temp,64,1,64,5,8,1119825,1119825,1116497,3328,4,500,0.001,1,False,8,22720893312
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,5,8,1117009,1117009,1116497,512,4,500,0.001,1,False,8,22720893312
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,1,64,6,8,1332961,1332961,1332961,0,4,500,0.001,1,False,8,22720893312
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,conv_temp,64,1,64,6,8,1335265,1335265,1332961,2304,4,500,0.001,1,False,8,22720893312
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,6,8,1333473,1333473,1332961,512,4,500,0.001,1,False,8,22720893312
airfoil,paper_table8_on_release_model,linearno,base_depth8,independent_L8,native_residual,128,8,16,conv_temp,64,2,128,8,8,1782273,1782273,1782273,0,4,500,0.001,1,False,8,25675518336
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,5,8,1126737,1126737,1126737,0,4,500,0.001,1,False,8,25675518336
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,conv_temp,64,2,128,5,8,1130065,1130065,1126737,3328,4,500,0.001,1,False,8,25675518336
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,5,8,1127249,1127249,1126737,512,4,500,0.001,1,False,8,25675518336
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,2,128,6,8,1345249,1345249,1345249,0,4,500,0.001,1,False,8,25675518336
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,conv_temp,64,2,128,6,8,1347553,1347553,1345249,2304,4,500,0.001,1,False,8,25675518336
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,6,8,1345761,1345761,1345249,512,4,500,0.001,1,False,8,25675518336
airfoil,paper_table8_on_release_model,linearno,depth_extension,independent_L16,native_residual,128,8,16,conv_temp,64,1,64,16,16,3497601,3497601,3497601,0,4,500,0.001,1,False,8,45065245056
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,9,16,1982353,1982353,1982353,0,4,500,0.001,1,False,8,45065245056
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,rb_attnres,128,8,16,conv_temp,64,1,64,9,16,1989777,1989777,1982353,7424,4,500,0.001,1,False,8,45065245056
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,9,16,1982865,1982865,1982353,512,4,500,0.001,1,False,8,45065245056
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,1,64,10,16,2198817,2198817,2198817,0,4,500,0.001,1,False,8,45065245056
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,rb_attnres,128,8,16,conv_temp,64,1,64,10,16,2205217,2205217,2198817,6400,4,500,0.001,1,False,8,45065245056
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,10,16,2199329,2199329,2198817,512,4,500,0.001,1,False,8,45065245056
airfoil,paper_table8_on_release_model,linearno,depth_extension,independent_L16,native_residual,128,8,16,conv_temp,64,2,128,16,16,3530369,3530369,3530369,0,4,500,0.001,1,False,8,50974495104
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,9,16,2000785,2000785,2000785,0,4,500,0.001,1,False,8,50974495104
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,rb_attnres,128,8,16,conv_temp,64,2,128,9,16,2008209,2008209,2000785,7424,4,500,0.001,1,False,8,50974495104
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,9,16,2001297,2001297,2000785,512,4,500,0.001,1,False,8,50974495104
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,2,128,10,16,2219297,2219297,2219297,0,4,500,0.001,1,False,8,50974495104
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,rb_attnres,128,8,16,conv_temp,64,2,128,10,16,2225697,2225697,2219297,6400,4,500,0.001,1,False,8,50974495104
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,10,16,2219809,2219809,2219297,512,4,500,0.001,1,False,8,50974495104
airfoil,paper_table8_on_release_model,linearno,depth_extension,independent_L24,native_residual,128,8,16,conv_temp,64,1,64,24,24,5229313,5229313,5229313,0,4,500,0.001,1,False,8,67409596800
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,13,24,2848209,2848209,2848209,0,4,500,0.001,1,False,8,67409596800
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,rb_attnres,128,8,16,conv_temp,64,1,64,13,24,2859729,2859729,2848209,11520,4,500,0.001,1,False,8,67409596800
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,13,24,2848721,2848721,2848209,512,4,500,0.001,1,False,8,67409596800
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,1,64,14,24,3064673,3064673,3064673,0,4,500,0.001,1,False,8,67409596800
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,rb_attnres,128,8,16,conv_temp,64,1,64,14,24,3075169,3075169,3064673,10496,4,500,0.001,1,False,8,67409596800
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,14,24,3065185,3065185,3064673,512,4,500,0.001,1,False,8,67409596800
airfoil,paper_table8_on_release_model,linearno,depth_extension,independent_L24,native_residual,128,8,16,conv_temp,64,2,128,24,24,5278465,5278465,5278465,0,4,500,0.001,1,False,8,76273471872
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,13,24,2874833,2874833,2874833,0,4,500,0.001,1,False,8,76273471872
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,rb_attnres,128,8,16,conv_temp,64,2,128,13,24,2886353,2886353,2874833,11520,4,500,0.001,1,False,8,76273471872
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,13,24,2875345,2875345,2874833,512,4,500,0.001,1,False,8,76273471872
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,2,128,14,24,3093345,3093345,3093345,0,4,500,0.001,1,False,8,76273471872
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,rb_attnres,128,8,16,conv_temp,64,2,128,14,24,3103841,3103841,3093345,10496,4,500,0.001,1,False,8,76273471872
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,14,24,3093857,3093857,3093345,512,4,500,0.001,1,False,8,76273471872
airfoil,paper_table8_on_release_model,linearno,depth_extension,independent_L32,native_residual,128,8,16,conv_temp,64,1,64,32,32,6961025,6961025,6961025,0,4,500,0.001,1,False,8,89753948544
