task,profile,family,group,topology,mode,seed,hidden,heads,head_dim,variant,base_rank,rank_multiplier,actual_M,unique_depth,executed_depth,total_parameters,trainable_parameters,backbone_parameters,router_parameters,batch_size,epochs,lr,mlp_ratio,unified_pos,ref,matrix_macs_B1,config
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,5,8,1116497,1116497,1116497,0,4,500,0.001,1,False,8,22720893312,airfoil/D8/M64/p1_c3_r2_s1/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,1,64,5,8,1119825,1119825,1116497,3328,4,500,0.001,1,False,8,22720893312,airfoil/D8/M64/p1_c3_r2_s1/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,5,8,1117009,1117009,1116497,512,4,500,0.001,1,False,8,22720893312,airfoil/D8/M64/p1_c3_r2_s1/lb_attnres_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,6,8,1332961,1332961,1332961,0,4,500,0.001,1,False,8,22720893312,airfoil/D8/M64/p2_c2_r2_s2/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,1,64,6,8,1335265,1335265,1332961,2304,4,500,0.001,1,False,8,22720893312,airfoil/D8/M64/p2_c2_r2_s2/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,6,8,1333473,1333473,1332961,512,4,500,0.001,1,False,8,22720893312,airfoil/D8/M64/p2_c2_r2_s2/lb_attnres_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,5,8,1126737,1126737,1126737,0,4,500,0.001,1,False,8,25675518336,airfoil/D8/M128/p1_c3_r2_s1/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,2,128,5,8,1130065,1130065,1126737,3328,4,500,0.001,1,False,8,25675518336,airfoil/D8/M128/p1_c3_r2_s1/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,5,8,1127249,1127249,1126737,512,4,500,0.001,1,False,8,25675518336,airfoil/D8/M128/p1_c3_r2_s1/lb_attnres_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,6,8,1345249,1345249,1345249,0,4,500,0.001,1,False,8,25675518336,airfoil/D8/M128/p2_c2_r2_s2/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,2,128,6,8,1347553,1347553,1345249,2304,4,500,0.001,1,False,8,25675518336,airfoil/D8/M128/p2_c2_r2_s2/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,6,8,1345761,1345761,1345249,512,4,500,0.001,1,False,8,25675518336,airfoil/D8/M128/p2_c2_r2_s2/lb_attnres_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,9,16,1982353,1982353,1982353,0,4,500,0.001,1,False,8,45065245056,airfoil/D16/M64/p1_c7_r2_s1/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,1,64,9,16,1989777,1989777,1982353,7424,4,500,0.001,1,False,8,45065245056,airfoil/D16/M64/p1_c7_r2_s1/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,9,16,1982865,1982865,1982353,512,4,500,0.001,1,False,8,45065245056,airfoil/D16/M64/p1_c7_r2_s1/lb_attnres_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,1,64,10,16,2198817,2198817,2198817,0,4,500,0.001,1,False,8,45065245056,airfoil/D16/M64/p2_c6_r2_s2/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,1,64,10,16,2205217,2205217,2198817,6400,4,500,0.001,1,False,8,45065245056,airfoil/D16/M64/p2_c6_r2_s2/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,1,64,10,16,2199329,2199329,2198817,512,4,500,0.001,1,False,8,45065245056,airfoil/D16/M64/p2_c6_r2_s2/lb_attnres_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,9,16,2000785,2000785,2000785,0,4,500,0.001,1,False,8,50974495104,airfoil/D16/M128/p1_c7_r2_s1/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,rb_attnres,0,128,8,16,conv_temp,64,2,128,9,16,2008209,2008209,2000785,7424,4,500,0.001,1,False,8,50974495104,airfoil/D16/M128/p1_c7_r2_s1/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,9,16,2001297,2001297,2000785,512,4,500,0.001,1,False,8,50974495104,airfoil/D16/M128/p1_c7_r2_s1/lb_attnres_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,sr_1_over_r,0,128,8,16,conv_temp,64,2,128,10,16,2219297,2219297,2219297,0,4,500,0.001,1,False,8,50974495104,airfoil/D16/M128/p2_c6_r2_s2/sr_1_over_r/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,rb_attnres,0,128,8,16,conv_temp,64,2,128,10,16,2225697,2225697,2219297,6400,4,500,0.001,1,False,8,50974495104,airfoil/D16/M128/p2_c6_r2_s2/rb_attnres/config.json
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,lb_attnres_1_over_r,0,128,8,16,conv_temp,64,2,128,10,16,2219809,2219809,2219297,512,4,500,0.001,1,False,8,50974495104,airfoil/D16/M128/p2_c6_r2_s2/lb_attnres_1_over_r/config.json
